vr_id,Kavaler_id,Kavaler_eid,VR_Nr,Liik_ja_järk,Otsus_kp,Otsus_tekst,Täpsustus
VRA-0011,VRK-1317,66eabcce2e92de098dfcc36e,11,I/2,1920-02-23,"Korralduswalitsuse Ülemale Polkownik Paul Hendriku p. LILL’e-le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0012,VRK-1389,66eabcd92e92de098dfcc73e,12,I/2,1920-02-23,"Sõjawäe Terwishoiu Walitsuse ülemale Dr med. Artur Hansu p. LOSSMANN’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe terwishoiu organiseerimise ja korraldamise töös.",
VRA-0013,VRK-1907,66eabd272e92de098dfce163,13,I/1,1920-02-23,"Endisele Pea- ja Sõjaministrile Konstantin Jakobi p. PÄTS’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud iseseiswa Eesti riigi rajamisel.",
VRA-0014,VRK-2047,66eabd412e92de098dfce87e,14,III/1,1920-02-27,"Asutawa Kogu liikmele Jaan Jaani p. POSKA’le, hinnates kodanlisi teenuseid, mis Teie osutanud iseseiswa Eesti riigi rajamisel.",
VRA-0015,VRK-2890,66eabdc12e92de098dfd1326,15,I/2,1920-03-11,"Sõjawäe Ringkonna Ülemale Polkownik Johann Jaagu p UNT’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0016,VRK-0825,66eabc742e92de098dfcaa8a,16,I/2,1920-03-11,"Sõjawäe Prokuröörile Polkownik Peeter Stepani p. KANN’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Eesti Wabariigi wastu.",
VRA-0017,VRK-2933,66eabdc82e92de098dfd156e,17,I/2,1920-03-11,"Sõjawäe Ringkonna kohtu esimehele polkownik Henrik Jaagu p. WAHTRAMÄE’le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Eesti Wabariigi wastu.",
VRA-0018,VRK-1262,66eabcc62e92de098dfcc0a0,18,II/3,1920-02-21,"8 jalawäe polgu tööroodu reamehele Eduard Mihkli p. LEHTMETS’a-le, hinnates wahwust, mis Teie ülesnäitanud 30 jaanuaril 1919 a. Loku kõrtsi juures.",
VRA-0019,VRK-0632,66eabc512e92de098dfca0e6,19,II/3,1920-02-21,"8 jalawäe polgu tööroodu reamehele Feodor Iwani p IWANOW’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 16 jaanuaril 1919 a. Reola mõisa all, kus waenlase marulise tule all tõi raskesti haawatud leitnant Novoschilowi warjulisse kohta.",
VRA-0020,VRK-1654,66eabcff2e92de098dfcd46f,20,II/3,1920-02-21,"8 jalawäe polgu 5 roodu reamehele August Jaani p. MUUTRA’le, hinnates wahwust, mis Teie ülesnäitanud 23 märtsil 1919 a. Wirulase küla all.",
VRA-0021,VRK-1834,66eabd1b2e92de098dfcdd95,21,II/3,1920-02-21,"8 jalawäe polgu 4 roodu reamehele Johannes Joosepi p. PAGAR’ile, hinnates wahwust, mis Teie ülesnäitanud kuulipilduja „Maksimi“ juhatajana igast suuremast lahingust energiliselt osa wõttes – iseäranis Käbli talu ja Wana-Laitsna mõisa juures.",
VRA-0022,VRK-1035,66eabc9e2e92de098dfcb535,22,II/3,1920-02-21,"8 jalawäe polgu 4 roodu nooremale alamohwitserile Johannes Georgi p KOOW’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 23 jaanuaril 1919 a. Wana-Wooremõisa peale tungimisel, luurajate salga eesotsas olles, kus esimesena mõisa sisse tormasite, mille tagajärjel waenlane korratult taganes, püssa ja laskemoona maha jättes.",
VRA-0023,VRK-0544,66eabc3c2e92de098dfc9c56,23,II/3,1920-02-21,"8 jalawäe polgu 1 roodu reamehele Richard Hansu p. HIOB’ile, hinnates wahwust, mis Teie ülesnäitanud, kui luuramisele tuli wälja minna, olite esimene wabatahtlik ülesseandja, minnes weikese salgakese ees, julgustades alati oma kaaslasi.",
VRA-0024,VRK-0599,66eabc492e92de098dfc9f20,24,I/2,1920-03-26,"Prantsuse sõjalise missioni Esitajale, Leutnant-Colonel HURSTEL’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud kõige suurema heatahtlusega meid meie Wabadussõjas aidates ja toetades sõjariistade saamist liitriikidelt.",
VRA-0025,VRK-1487,66eabce72e92de098dfccc0e,25,II/3,1920-02-21,"2 suurtükiwäe polgu 3 batarei kapralile Johannes Mihkli p. MÄND’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 mail 1919 a. Gorowezarowa ja Schumilkina külade all.",
VRA-0026,VRK-2322,66eabd692e92de098dfcf674,26,II/3,1920-02-21,"2 suurtükiwäe polgu 3 batarei reamehele August Peetri p. RUUSMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 mail 1919 a. Gorowezarowa ja Schumilkina külade all.",
VRA-0027,VRK-0695,66eabc5c2e92de098dfca3f1,27,II/3,1920-02-21,"2 suurtükiwäe polgu 3 batarei reamehele Eduard Jaani p. JOHANSON’ile, hinnates wahwust, mis Teie ülesnäitanud 25 mail 1919 a. Goronzhanovo ja Schumilkino külade juures.",
VRA-0028,VRK-1260,66eabcc62e92de098dfcc0a5,28,II/3,1920-02-21,"2 suurtükiwäe polgu 3 batarei reamehele Nikolai Aleksandri p. LEETS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 mail 1919 a. Gorowezarowa ja Schumilkina külade all.",
VRA-0029,VRK-2944,66eabdca2e92de098dfd15f2,29,II/3,1920-02-21,"2 suurtükiwäe polgu 4 batarei wanemale alamohwitserile Hans Hansu p. WALDMANN’ile, hinnates wahwust, mis Teie ülesnäitanud 9 mail 1919 a. lahingus Salesje külas.",
VRA-0030,VRK-0814,66eabc722e92de098dfcaa09,30,II/3,1920-02-21,"2 suurtükiwäe polgu 4 batarei kapralile Peeter Peetri p. KANASAR’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 9 mail 1919 a. Salesje küla all.",
VRA-0031,VRK-1090,66eabca82e92de098dfcb801,31,II/3,1920-02-21,"2 suurtükiwäe polgu 4 batarei reamehele Rudolf Juhani p. KÜBAR’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus Salesje küla all 9 mail 1919 a. vaatepunkti peal telefonisti kohuseid täites.",
VRA-0032,VRK-1711,66eabd0a2e92de098dfcd77e,32,II/3,1920-02-21,"1 Ratsa polgu reamehele Martin Mihkli p. NÕMMIK’ule, hinnates wahwust, mis Teie ülesnäitanud lahingus 12 jaanuaril 1919 a., esimesena automaatpüssiga Rõmeda külasse tormates, mida paarisaja meheline waenlase wäesalk kaitses, seal niikaua waenlase peale tuld andes, kui abi jõudis ja waenlase wälja ajas.",
VRA-0033,VRK-2903,66eabdc42e92de098dfd13e8,33,II/3,1920-02-21,"1 Ratsa polgu nooremale alamohwitserile Aleksander Mardi p. USTERMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 12 jaanuaril 1919 a. Rõmeda külas, waenlase ägeda püssitule all kuulipildujat ülesse seades ja selle tule toetusel aidates oma meestel küla ära wõtta.",
VRA-0034,VRK-1634,66eabcfc2e92de098dfcd36d,34,II/3,1920-02-21,"1 Ratsawäe polgu nooremale alamohwitserile Aleks Eduardi p. MILLER’ile, hinnates wahwust, mis Teie ülesnäitanud luuramisekäigul 28 weebruaril 1919 a., kolmekesi waenlase posti peale tormates. Post põgenes, täiesti korras kuulipildujat ja püssa maha jättes.","Täpsustus: märtsis 1923 riigikantselei parandas diplomi, kirjutades perekonnanimeks MÜLLER. [J.P.]"
VRA-0035,VRK-2803,66eabdb22e92de098dfd0ed4,35,II/3,1920-02-21,"1 Ratsa polgu nooremale alamohwitserile Hans Hansu p. TÕNTSON’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus luurekäigul 28 weebruaril 1919 a. kolmekesi waenlase peale tormates. Post põgenes, täiesti korras kuulipildujat ja püssa maha jättes.",
VRA-0036,VRK-0737,66eabc632e92de098dfca63c,36,II/3,1920-02-21,"1 Ratsa polgu kapralile Woldemar Mihkli p. JÜRWETSON’ile, hinnates wahwust, mis Teie ülesnäitanud luurekäigul 28 weebruaril 1919 a. kolmekesi waenlase peale tormates. Post põgenes, täiesti korras kuulipildujat ja püssa maha jättes.",
VRA-0037,VRK-1810,66eabd182e92de098dfcdc50,37,II/3,1920-02-21,"1 Ratsa polgu wanemale alamohwitserile Daniel Danieli p. OTSA’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 12 jaanuaril 1919 a., kui üks esimistest tormijooksjatest Puhmu küla peale, mille tagajärjel kolm korda suurem waenlase salk põgenes, hobuseid ja sõjamoona maha jättes.",
VRA-0038,VRK-2300,66eabd652e92de098dfcf52f,38,II/3,1920-02-21,"1 Ratsa polgu nooremale alamohwitserile Aleksander Jaani p. ROST’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 12 jaanuaril 1919 a., kui üks esimistest tormijooksjatest Puhmu küla peale, mille tagajärjel kolm korda suurem waenlase salk põgenes, hobuseid ja sõjamoona maha jättes.",
VRA-0039,VRK-0730,66eabc612e92de098dfca5ba,39,II/3,1920-02-21,"1 Ratsa polgu reamees Johann Kasperi p. JURIS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 12 jaanuaril 1919 a., kui üks esimistest tormijooksjatest Puhmu küla peale, mille tagajärjel kolm korda suurem waenlase salk põgenes, hobuseid ja sõjamoona maha jättes.",
VRA-0040,VRK-2943,66eabdca2e92de098dfd15f1,40,II/3,1920-02-21,"1 Ratsawäe polgu wanemale alamohwitserile Arnold Otto p. WALDMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 13 jaanuaril 1919 a. Salla mõisa ärawõtmisel, töötades iseseiswalt rühma ülemana, oma julge ja järelkaalutud tegewusega teistele pealetungijatele wõimalust andes mõisa ärawõtmisel kuulipildujat saada.",
VRA-0041,VRK-0978,66eabc922e92de098dfcb269,41,II/3,1920-02-21,"1 Ratsa polgu reamehele Daniel Jaani p. KLEMENT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 10 weebruaril 1919 a. Polja külas, haawatuna, peale eskadroni ülema surma ja rühma ülema haawamist, kui meeste keskel segadus tekkis, neid korraldades ja lahingusse tagasi juhtides.",
VRA-0042,VRK-1271,66eabcc72e92de098dfcc122,42,II/3,1920-02-21,"1 Ratsa polgu reamehele Mihkel Peetri p. LEKSTEIN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 10 weebruaril 1919 a. Polja küla all, kuulipildujaga waenlase seisukoha keskele tungides ja waenlast selle tulega kinni pidades, kuni meie wäeosad tagasi tõmmati ja uutele seisukohtadele asusid.",
VRA-0043,VRK-1167,66eabcb62e92de098dfcbc0e,43,II/3,1920-02-21,"1 Ratsa polgu reamehele Edgar Ludwigi p. KUUSIK’ule, hinnates wahwust, mis Teie ülesnäitanud lahingus 10 weebruaril 1919 a. oma kuulipildujate rühma esimesena Polja külasse wiies ja, peale eskadroni ülema surma ja ühe ohwitseri haawamist, noorema ohwitseri kohuseid täites, ning waenlase soomusrongi sissesõitmisel selle tule all üksinda eskadroni ülema surnukeha külast wälja kandes.",
VRA-0044,VRK-2720,66eabda52e92de098dfd0a84,44,II/3,1920-02-21,"1 Ratsawäe polgu reamehele Hermann Kaarli p. TEDER’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 jaanuaril 1919 a. waenlase sissetungimisel Pustoi-Konetsi külasse, haawatutele kuulipilduritele appi tõtates ja neid waenlase kätte sattumisest peastes.",
VRA-0045,VRK-1450,66eabce22e92de098dfcca49,45,II/3,1920-02-21,"1 Ratsa polgu wanemale alamohwitserile Johann Andrese p. MÄGI’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 jaanuaril 1919 a., waenlase sissetungimisel „Pustoi-Konetsi“ külasse, haawatutele kuulipilduritele appi tõtates neid waenlase kätte sattumisest peastes.",
VRA-0046,VRK-2065,66eabd432e92de098dfce946,46,II/3,1920-02-21,"1 Ratsa polgu kapralile Jüri Willemi p. PRISKE’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 jaanuaril 1919 a., waenlase sissetungimisel „Pustoi-Konetsi“ <a id=""_idTextAnchor007""></a>külasse, haawatutele kuulipilduritele appi tõtates ja neid waenlase kätte sattumisest peastes.",
VRA-0047,VRK-1381,66eabcd72e92de098dfcc6be,47,II/3,1920-02-21,"1 Ratsa polgu reamehele Konstantin Hansu p. LÕUKE’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 9 jaanuaril 1919 Järwa-Jaani alewi juures, esimesena külasse sisse tormates ja käsigranaatidega üksinda waenlase salka häwitades, kes ühte majasse oli jäänud ja sealt tuld andis.",
VRA-0048,VRK-0396,66eabc242e92de098dfc94f4,48,II/3,1920-02-21,"1 jalawäe polgu 14 roodu ülemale, lipnik Johannes Otto p. GRANT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 8 jaanuaril 1919 a. Surru mõisa juures waenlase tugevate toetuspunktide ja Walgjõe silla äravõtmisel, mis teda tervel wäeliinil põgenema sundis ja 18 jaanuaril 1919 a. waenlase polgu wangiwõtmisel, roodu juhatades.",
VRA-0049,VRK-1274,66eabcc82e92de098dfcc163,49,II/3,1920-02-21,"1 jalawäe polgu 14 roodu nooremale ohwitserile, leitnant Nikolai Hansu p LELL’ele, hinnates wahwust, mis Teie ülesnäitanud lahingus 8 jaanuaril 1919 a., öösel poolrooduga Surru mõisa tungides, mille tagajärjel waenlane sealt korratult taganes, jättes maha kuulipildujat ühes padruni wankrite ja muu kraamiga.",
VRA-0050,VRK-1727,66eabd0c2e92de098dfcd83e,50,II/3,1920-02-21,"1 jalawäe polgu 5 roodu nooremale alamohwitserile Gustaw Madise p. NURKLIK’ule, hinnates wahwust, mis Teie ülesnäitanud lahingus 11 weebruaril 1919 a., Orlõi ja Kurowitsa külade wahel, kaugel waenlase selja taga telefoni liini ära purustades, ja waenlase wangist põgenemisel, kuhu 18 weebruaril 1919 a. langesite.",
VRA-0051,VRK-2957,66eabdcc2e92de098dfd1675,51,II/3,1920-02-21,"1 jalawäe polgu 6 roodu wanemale alamohwitserile Mihkel Jaani p. WALLER’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 22 weebruaril 1919 a. Odrassaare talu juures.",
VRA-0052,VRK-2768,66eabdac2e92de098dfd0d0e,52,II/3,1920-02-21,"1 jalawäe polgu 9 roodu junkur Hartwig Johani p. TELLING’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 weebruaril 1919 a., tuues roodu ülema käsul, Riigi küla juures suurte jõududega pealetungiwa waenlase ägeda tule all, abi teisest wäeosast.",
VRA-0053,VRK-3073,66eabde02e92de098dfd1c8a,53,II/3,1920-02-21,"1 jalawäe polgu 7 roodu reamehele Joosep Jakobi p WALLER’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 15 weebruaril 1919 a. Ilkino küla juures, waenlase ägeda püssitule all teisele poolroodule käskusid wiies, mis lahingu tegewusele suuresti kaasa aitas, ja 18 weebruaril 1919 a. Wanaküla küla all, olles terwele roodule esimesena kallaletungimisele minekuga eeskujuks.",
VRA-0054,VRK-0972,66eabc912e92de098dfcb228,54,II/3,1920-02-21,"1 jalawäe polgu 1 roodu reamehele Johannes Kustase p. KLAAMAS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 26 mail 1919 a. Marienburgi sihil waenlase liini läbimurdmisel, kes ennast Wiitina mõisas tugewasti kindlustatud oli, – jookstes esimesena waenlase kaewikute juurde ja ärawõetud kuulipildujast tuld awades mis waenlast taganema ja kuulipildujaid maha jätma sundis.",
VRA-0055,VRK-2703,66eabda22e92de098dfd09c0,55,II/3,1920-02-21,"4 jalawäe polgu 2 roodu weltweeblile Ernst Roberti p. FRIEDRICHSON’ile, hinnates wahwust, mis Teie ülesnäitanud 12 märtsil 1919 a. Plüssa silla juures luuramisekäigul olles, kui Teie energilisel korraldusel haawatud rooduülem õnnelikult waenlase tulealt ära sai toodud.",
VRA-0056,VRK-0493,66eabc342e92de098dfc99c8,56,II/3,1920-02-21,"4 jalawäe polgu 4 roodu wanemale alamohwitserile Tiido Jaani p. HEINT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 7 detsembril 1918 a. Järwa mõisa juures waenlase ümberpiiramisel kuulipildujat laskewõimetuks tehes, mida wõimatu oli taganemisel kaasa wõtta.",
VRA-0057,VRK-3000,66eabdd32e92de098dfd18bd,57,II/3,1920-02-21,"4 jalawäe polgu 4 roodu reamehele August Mihkli p. WEINBERG’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 30 jaanuaril 1919 a. Kriuscha küla juures ägeda waenlase tule all bataljoni ülemale teateid wiies ja padruneid tuues, mis roodu seisukorda tuntawalt parandas.",
VRA-0058,VRK-2069,66eabd442e92de098dfce983,58,II/3,1920-02-21,"4 jalawäe polgu 5 roodu reamehele Karl Jaani p. PRUUL’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 23 weebruaril 1919 a. waenlase Odrasaare pealetungimisel, aidates rühmaülemana oma energilise tegewusega waenlase terwe bataljoni edasitungimist seisma panna ja endist seisukohta tagasi wõtta.",
VRA-0059,VRK-2496,66eabd822e92de098dfcff18,59,II/3,1920-02-21,"4 jalawäe polgu 5 roodu kapralile Joosep Tooma p. SILBERG’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 11 jaanuaril 1919 a. Kärmu apteki juures ja 25 weebruaril 1919 a. Odrassaare tagasiwõtmisel oma eeskujuliku tegewusega teiste meeleolu tõstes.",
VRA-0060,VRK-0894,66eabc812e92de098dfcae19,60,II/3,1920-02-21,"4 jalawäe polgu 6 roodu nooremale alamohwitserile Johannes Kaarli p. KEDDER’ile, hinnates wahwust, mis Teie ülesnäitanud 15 weebruaril 1919 a. Staraja Russa, Nowgorodi Kukke ja Rabaskonde talude juures luuramise käigul waenlase kuulipildujate arwu üle tarwilikka teateid tuues, mis Temnitsa mõisa ärawõtmisel wäga tähtis oli.",
VRA-0061,VRK-2193,66eabd562e92de098dfcefdd,61,II/3,1920-02-21,"4 jalawäe polgu 6 roodu wanemale alamohwitserile Elmar Madise p. REINSON’ile hinnates wahwust, mis Teie ülesnäitanud lahingus 25 weebruaril 1919 a. minnes waenlase ägeda tule all üle Narowa jõe maakuulamisele ja tuues tarwilikka teateid, mis wõimaldas waenlase polkusid laiali ajada, wangisid ja kuulipildujaid saada.",
VRA-0062,VRK-3029,66eabdd82e92de098dfd1a44,62,II/3,1920-02-21,"4 jalawäe polgu kuulipildujate roodu reamehele Eduard Hansu p. WIIL’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 21 detsembril 1918 Läsna küla juures waenlase ägeda tule all kuulipildujate tarwis padruneid ja wett kandes ja ka mujal alati oma wahwusega teistele eeskujuks olles.",
VRA-0063,VRK-1287,66eabcca2e92de098dfcc1e9,63,II/3,1920-02-21,"L. R. soomusrongi Nr 2 ülemale, alamkapten Jaan Jaani p. LEPP’ale, hinnates wahwust, mis Teie ülesnäitanud lahingus 10 jaanuaril 1919 a. Kiltsi ja Rakke jaamade wahel, teed waenlasele taganemiseks tema selja taga kinni pannes ja öösel wastu 11 jaanuari 1919 a. oma luurajate salgaga ootamata pealetungimisega waenlaselt neljasuurtükilist korras batareid ära wõttes.",
VRA-0064,VRK-2763,66eabdab2e92de098dfd0cd0,64,II/3,1920-02-21,"Soomusrongide diwiisi käskudetäitja ohwitser, lipnik Aleksander Jaani p. TILGER’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 27 aprillil 1919 a. Egle kõrtsi juures soomusautoga waenlase wäeliini läbi murdes, isiklikult kuulipildujat ühes koorma lintidega ära wõttes ja peale kapten Irwe surma operatsiooni juhatades, mille tagajärjel waenlane lõplikult taganema oli sunnitud.",
VRA-0065,VRK-0116,66eabbf72e92de098dfc86bd,65,II/3,1920-02-21,"Laiaroopalise soomusrongi Nr 3 3 roodu ülemale, alamleitnant Peeter Johani p ASMUS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes 9 märtsil 1919 a. Stakelni ees luuramisekäigul tarwilikka teateid waenlase üle tuues ja 11 märtsil 1919 a. Stakelni ärawõtmise juures waenlase roodule teed põgenemiseks kinni pannes, roodu peaaegu ära häwitades ja palju wangisid wõttes.",
VRA-0066,VRK-2739,66eabda82e92de098dfd0b87,66,II/3,1920-02-21,"Laiaroopalise soomusrongi Nr 3 ülema abile, leitnant Edgar Kaarli p. TESLON’ile, hinnates wahwust, mis Teie ülesnäitanud isikliselt kaasa aidates, et waenlase edasitungimine Tallinna poole Kehra rajoonis, Priske ja Kõrwe külades seisma sai pandud ja pärast kõikidest lahingutest osa wõttes, iseäranis lahingus 22 jaanuaril 1919 a. Uderna mõisa operatsiooni juhatades, kus hulk sõjasaaki saadi.",
VRA-0067,VRK-2206,66eabd572e92de098dfcf061,67,II/3,1920-02-21,"Laiaroopalise soomusrongi Nr 3 ratsaluurajate komando ülemale, lipnik Richard Christjani p. REINBERG’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 9 jaanuaril 1919 a. Tapa ärawõtmisel, kus Teie iseäralise osawuse ja julguse tõttu hulk wangisid ja sõjasaaki saadi.",
VRA-0068,VRK-2985,66eabdd02e92de098dfd17f8,68,II/3,1920-02-21,"Laiaroopalise soomusrongi Nr 3 spetsialistide komando ülemale, lipnik Theodor Nikolai p. WASSERMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 21 jaanuaril 1919 a. Kehra jaama rajoonis Kõrwe küla juures, aidates waenlase edasitungimist seisma panna.",
VRA-0069,VRK-2653,66eabd9b2e92de098dfd0737,69,II/3,1920-02-21,"Laiaroopalise soomusrongi Nr 3 suurtükiwäe komando ülemale, lipnik Walter Alexandri p. THALHEIM’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes Tapal 9 jaanuaril 1919 a., Woldi ja Äksi juures 13 jaanuaril 1919 a., Tartus 14 jaanuaril 1919 a. ja Kirepi juures 23 jaanuaril 1919 a. waenlase seisukohtade ärawõtmisele oma osawa ja külmawerelise suurtüki tule juhtimisega kõige tähtsamal mõõdul kaasa aidates.",
VRA-0070,VRK-0859,66eabc7a2e92de098dfcac53,70,II/3,1920-02-21,"L. R. soomusrong Nr 3 – 1se roodu ülemale, alamleitnant Johann Hansu p. KASE’le, hinnates wahwust, mis Teie ülesnäitanud lahingutes 9 jaanuaril 1919 a. Tapa jaama juures ja 19 weebruaril 1919 a. Stakelni ees waenlase pealetungimist oma rühmaga tagasi lüües.",
VRA-0071,VRK-2891,66eabdc12e92de098dfd1329,71,II/3,1920-02-21,"Laiaroopalise soomusrongi Nr 3 meresuurtükiwäe komando ülemale, leitnant Mart Madise p. UNT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes Tapal 9 jaanuaril, Woldi ja Äksi juures 13 jaanuaril, Tartus 14 jaanuaril, Uderna juures 22 jaanuaril ja Kirepi juures 23 jaanuaril 1919 a. waenlase seisukohtade ärawõtmisel oma osawa ja külmawerelise suurtükitule juhtimisega kaasa aidates.",
VRA-0072,VRK-1999,66eabd362e92de098dfce5f6,72,II/3,1920-02-21,"Soomusrongi Nr 2 dessant komando nooremale ohwitserile, alamleitnant Herbert Konradi p. PINKA’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 17 weebruaril 1919 a. mineeritud Mustajõe silla peal olewate waenlase wahipostide ära häwitamisel ja silla terwelt oma alla wõtmisel.",
