eid,mille_eest
66d8793df2daf46b31453118,"hinnates vahvust, mis Laiarööpalise soomusrongi „Kapten Irv“ kapral Paul Pauli p. ERNA Eesti Vabadussõjas üles näidanud 23.–24. mail 1919 teiselpool Koscheljaha jaama asunud punaste soomusrongi „Trotsky“ äravõtmise katsel raskelt haavata saanud rühmaülem Paul Hansar’i päästmisel vangilangemisest, sidus tema haavad ning tassis seljas vaenlase ägeda tule all jõest läbi ja sealt rongile"
66d8789af2daf46b3144cf30,"Laiaroopalise soomusrongi Nr 3 reamehele Jüri Juhani p. JÜRGEN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes 30 märtsil 1919 a. Netschaewa küla ja 1–2 aprillil 1919 a. Sabjelina ja Waschina-Gora külade waldamisel; kolme kaaslasega esimestena Sabjelina külasse sisse tormates ja waenlaselt 3 kuulipildujat ärawõttes"
66d8794cf2daf46b31453a3e,"hinnates kodanlisi teeneid, mis Tema Ekstsellents Rootsi saadik , Eestis, Härra Ulf Torsten UNDÉN Eesti Vabariigi vastu üles näidanud"
66d878f6f2daf46b31450637,"Wabariigi Kaitse Liidu ülemale Eduard Martini p. ALWER’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud oma wäsimata kaastööga Kaitse Liidu organiseerimise ja korraldamise töös. (Täpsustus: ei võtnud vastu, pidades oma teeneid VR kõrgema järgu vääriliseks.)"
66d8792af2daf46b31452581,"Ajutise Walitsuse liikmele Otto STRANDMANN’ile, hinnates kodanlisi teenuseid, mis Teie osutanud Ajutise Walitsuse liikmena iseseiswa Eesti riigi rajamisel. (Täpsustus: ei võtnud vastu.)"
66d87895f2daf46b3144cc4f,"II Diwiisi ülemale Polkownik Wiktor Johani p. PUSKAR’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös. (Täpsustus: ei võtnud VRi vastu.)"
66d878bef2daf46b3144e4a4,"5 jalawäe polgu 4 roodu reamehele Johannes Johani p. TAMM’ele, hinnates wahwust, mis Teie ülesnäitanud lahingus 24 mail 1919 a. Litowischi küla juures. (Täpsustus: ekslikult oli arvatud kavaleriks Johannes Johani p Tamm (1895–1979), oktoobris 1923 viga parandati ning kavaleriks arvati Johannes Abrami p Tamm (1892–1928), kellele väljastati uus tunnistus.)"
66d878daf2daf46b3144f4a1,"2 jalawäe polgu reamehele Harry MORA’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 6/7 mail 1919 a. Pressi külas. (Täpsustus: keeldus vastu võtmast põhjendusega, et see ""... minu arvates liialdatud teateid minu esinemise kohta Pressi külas mainitud lahingus sisaldab, mispärast ma end mitte õigustatuks ei loe vabadusristi vastu võtta ... Harry Mora 27.07.1921"".)"
66d878c3f2daf46b3144e7a0,"Kitsaroopalise soomusrongi Nr 1 kapralile Peeter JÜRGENS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha Nikandri kloostri waldamisel. (Täpsustus: klooster vallutati 28.07.1919.)"
66d878c4f2daf46b3144e7f9,"Kitsaroopalise soomusrongi Nr 1 reamees KARL TAPPU’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel. (Täpsustus: klooster vallutati 28.07.1919.)"
66d878d1f2daf46b3144efb4,"3 jalawäe polgu reamehele Karl PLINK’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 2 juunil 1919 a. Laagu mõisa all. (Täpsustus: lahing oli 02.07.1919 Kurtenhofi jaama juures. – J.P.)"
66d87903f2daf46b31450d6a,Lahingus 27 juulil 1919 a. Kurtenhofi jaama ja Kircholmi mõisa peale tungimisel langenud 3 jalawäe polgu leitnandile Georg ZIMMERMANN’ile wahwuse eest. (Täpsustus: lahing oli 02.07.1919.)
66d878b6f2daf46b3144df8b,"Laiaroopalise soomusrongi Nr 3 wanemale alamohwitserile Otto Gustawi p. RAUN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 21 aprillil 1919 a. Loode raudtee silla kaitsmisel. (Täpsustus: lahing oli 21.06.1919)"
66d878a3f2daf46b3144d4fc,"Rannawalwe-, side- ja Päästejaamade Walitsuse 2 järgu madrusele Aleksander Peetri p. PALDMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 15 detsembril 1919 a. Kunda mõisa juures. (Täpsustus: lahing toimus 1918.)"
66d878d4f2daf46b3144f14d,"2 jalawäe polgu reamehele Johannes SEER’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus – 1. jaanuaril 1919 a. Wiseli küla all ja weebruari kuul 1919 a. Räpina küla all ja Trotsjanka külas. (Täpsustus: lahingud Viisli külas Tartumaal olid 22.–26.01.1919.)"
66d87902f2daf46b31450ce1,"Lahingus 3 märtsil 1919 a. Sile-Ratniku talu juures langenud 3 jalawäe polgu reamehele Peeter PEETERS’ile. (Täpsustus: langes 28.02.1919, eksitus surmadaatumiga tekkis VR esildise koostamisel.)"
66d87929f2daf46b31452553,"Ajutise Walitsuse liikmele Dr. Jüri RAAMOT’ile, hinnates kodanlisi teenuseid, mis Teie osutanud Ajutise Walitsuse liikmena iseseiswa Eesti riigi rajamisel. (Täpsustus: õige eesnimi on Jaan.)"
66d878bcf2daf46b3144e396,"5 jalawäe polgu 5 roodu kapralile August Jaani p. SAAR’ele, hinnates wahwust, mis Teie ülesnäitanud lahingus 26 mail 1919 a. Lesgi küla all. (Täpsustus: õige isanimi Mihkel parandati tunnistusel oktoobris 1922.)"
66d878ecf2daf46b3144ff85,"Soomusrongi Nr 2 reamehele Jaan MATSON’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 5 nowembril 1919 a. Panewa küla all. (Täpsustus: sangariteo sooritas laiarööpmelisel soomusrongil nr 5 teenides.)"
66d8789df2daf46b3144d120,"1 jalawäe polgu 1 kerge patarei kapralile Richard PUKSOW’i-le, hinnates wahwust, mis Teie ülesnäitanud lahingus 16 jaanuaril 1919 a. Kohtla küla juures. (Täpsustus: teenis 1. suurtükiväepolgu 1. patareis.)"
66d878c5f2daf46b3144e851,"Kitsaroopalise soomusrongi Nr 3 alamleitnandile Johan-Adelbert Mihkli p OLDEKOP’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 20 märtsil 1919 a. Saeru metsawahi maja juures. (Täpsustus: teenis laiarööpmelisel soomusrongil nr 3.)"
66d87902f2daf46b31450cb7,Lahingus Salisburgi waldamisel langenud Kuperjanowi partisanide polgu wanemale alamohwitserile Adolf LUHA’le wahwuse eest. (Täpsustus: tegelikult suri Tartu haiglas Rõngu mõisa all lahingus saadud haavadesse.)
66d87921f2daf46b31451fdd,Lahingus 23 detsembril 1918 a. Woltweti lauawabriku juures sakslaste kätte wangi langenud ja nende poolt surmatud 6 jalawäe polgu leitnandile Jaan PEDAJA’le wahwuse eest. (Täpsustus: tegelikult tapsid ta punaarmeelased.)
66d878b0f2daf46b3144dc33,"4 jalawäe polgu 7 roodu nooremale alamohwitserile Arnold ERSTEIN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 10 ja 11 augustil 1919 Weerino mõisa all. (Täpsustus: tegelikult teenis 9. jalaväepolgus.)"
66d878d8f2daf46b3144f366,"3 jalawäe polgu kapralile August ILLUSSAAR’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 6 nowembril 1919 a. Kudrowa mõisa waldamisel. (Täpsustus: uus diplom nr 2798, millel perekonnanimi HUSSAR, väljastati 29.01.1924.)"
66d878eaf2daf46b3144fe4e,"9 jalawäe polgu kaptenile Karl LAURITS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 20 juunil 1919 a. Lemsalu linna all.
VR II/2, nr 2824/18.02.1925 hinnates vahvust, mis major Karl LAURITS Eesti Vabadussõjas üles näidanud 9. jalaväepolgu II pataljoni ülemana 19. novembril 1919 a. Narva rindel Aleksandrovskaja Gorka – Kalmotka rajoonis ja Dubrovka Annenskaja liinil 9.–30. detsembrini 1919 a. vaenlase pealetungide tagasilöömisel"
66d8789df2daf46b3144d17b,"Suurtükilaewa „Meeme“ komanderile, noorem-leitnant Peeter Juhani p. KASK’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes 8–9 jaanuarini 1919 a. Loksal ja Kundas, 17 jaanuaril 1919 a. Narwa operatsioonides, 17 märtsil 1919 a. Petseri dessandis, 30 juunist kuni 2 juulini 1919 a. Riia all ja 12 oktoobrist kuni 5 nowembrini 1919 a. Koporje lahes"
66d878b0f2daf46b3144dc60,"4 jalawäe polgu 7 roodu reamehele Woldemar ULM’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 11 augustil 1919 a. Weerino mõisa juures.
(Selgitus: risti sai ekslikult Voldemar Tooma p ULM, kuid 1932 viga parandati ja VR anti tegelikule kavalerile, kelleks oli Voldemar Jaani p ULM.)"
66d878abf2daf46b3144d934,"Merelennusalga awiomehanikule Rudolf Jaani p. KASBERG’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga lennuwäe organiseerimise ja korraldamise töös.
(Täpsustus: 05.05.1922 parandatud isanimeks Kaarel. – M.S.)"
66d878a2f2daf46b3144d448,"Suurtükilaew „Lembitu“ mereõpilasele Georg Georgi p. BAUM’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes 4 nowembril 1918 a. Tabolski juures, 19–25 nowembril 1918 a. Foraschinis ja Wõru linna all, ning Heinastes, Luuga jõesuus ja Dünamündes dessandis olles.
(Täpsustus: eespool nimetatud lahingud leidsid aset aastal 1919 ja teistsugustel kuupäevadel.)"
66d87902f2daf46b31450ce3,"Lahingus 23/24 mail 1919 a. langenud Soomusrongi „Kapten Irw“ reamehele Paul HANSAR’ile wahwuse eest.
(Täpsustus: ei langenud, vaid sai raskelt haavata.)"
66d87895f2daf46b3144cc94,"Kindralstaabi Walitsuse ülemale polkownik Jaan Jaagu p. RINK’i-le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud meie wabaduse wõitluse algusest peale wäsimata Eesti sõjawäe organiseerimise alal töötades. Kõikide sõjaliste operatsioonide plaanide wäljatöötamise ja läbiwiimise juures olite Teie oma kindla waimu ja tahtejõuga kõigesuuremaks toeks.
(Täpsustus: ei võtnud vastu, hindas oma teeneid kõrgema järgu vääriliseks.)"
66d878bef2daf46b3144e475,"5 jalawäe polgu jalamaakuulajate komando reamehele Johannes Erichi p. KREEMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 23/24 mail 1919 a. Kriuscha ja Iwanowo-Boloto külade juures.
(Täpsustus: ekslikult oli VR esitamise ajal tema isanimeks märgitud Erich.)"
66d87907f2daf46b31450fdf,"Leitnant Artur JOHANSSON’ile, hinnates wahwust, mis Teie ülesnäitanud Eesti Wabadussõjas.
(Täpsustus: esitas jaanuaris 1923 taotluse parandada diplomil nimi Arvidiks.)"
66d878c4f2daf46b3144e7cb,"Kitsaroopalise soomusrongi Nr 1 reamehele Andres SAARETOK’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil juulil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919. – A.K.)"
66d878c4f2daf46b3144e7cd,"Kitsaroopalise soomusrongi Nr 1 reamehele Karl TOBIAS’ele, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878c4f2daf46b3144e7ce,"Kitsaroopalise soomusrongi Nr 1 reamehele Nikolai TAMM’ele, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878a0f2daf46b3144d30f,"Miiniristleja. „Wambola“ komendorile Bernhard Jaani p. NÕU’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 3–5 juulini 1919 a. Riia jõesuus.
(Täpsustus: lahing oli 01.–02.07.1919.)"
66d878c9f2daf46b3144eaf5,"4 jalawäe polgu alamleitnandile Alexander Martini p. BACHMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 6 detsembril 1919 a. Konju küla ja Woka postijaama juures.
(Täpsustus: lahing oli 06.12.1918.)"
66d878a0f2daf46b3144d30e,"Miiniristleja „Wambola“ miini masinistile Arthur Heinrichi p. SELAW’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 3–5 juulini 1919 a. Riia jõesuus.
(Täpsustus: lahingud olid 01.–02.07.1919.)"
66d878b8f2daf46b3144e0f3,"Scouts polgu reamehele Gustaw ADAMSON’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 24 mail 1919 a. Wesjolkina külas.
(Täpsustus: lahingus 6 aprillil 1919 a. Iwanowo-Boloto all. Viga parandati detsembris 1922.)"
66d87897f2daf46b3144cd6d,"1 Ratsawäe polgu nooremale alamohwitserile Aleks Eduardi p. MILLER’ile, hinnates wahwust, mis Teie ülesnäitanud luuramisekäigul 28 weebruaril 1919 a., kolmekesi waenlase posti peale tormates. Post põgenes, täiesti korras kuulipildujat ja püssa maha jättes.
(Täpsustus: märtsis 1923 riigikantselei parandas diplomi, kirjutades perekonnanimeks MÜLLER. – J.P.)"
66d878eef2daf46b3145011a,"8 Piiriküti pataljoni nooremale ohwitserile, Leitnant Rudolf Jaani p. WIENBERG’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.
(Täpsustus: õige isanimi oli Jakob.)"
66d878b6f2daf46b3144dfb8,"Laiaroopalise soomusrongi Nr 3 reamehele Johannes Mihkli p. SEPP’ale, hinnates wahwust, mis Teie ülesnäitanud lahingus 21 juulil 1919 a. Karamõschewo jaama juures.
(Täpsustus: õige isanimi on Jaen.)"
66d8792df2daf46b31452771,"5 jalawäe polgu 5 roodu wanemale ohwitserile, Leitnant Rudolf Karli p. PIIR’ile, hinnates sõjalisi teenuseid, mis Teie üles näidanud oma eeskujuliku teenistuskohuste täitmisega.
(Täpsustus: teenis 1. roodus. – J.P.)"
66d878c3f2daf46b3144e71a,"Laiaroopalise soomusrongi Nr 2 kapralile Hermann Mardi p. ISOP’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 15 detsembril 1918 a. Waeküla juures.
(Täpsustus: tegelikult teenis laiarööpmelisel soomusrongil nr 1. – J.P.)"
66d878c4f2daf46b3144e827,"Kitsaroopalise soomusrongi Nr 3 junkurile Robert Hendriku p. KIRSCHBAUM’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes 19 aprillil 1919 a. Kõrgepalus ja 25 mail 1919 a. Pihkwa all.
(Täpsustus: tegelikult võitles laiarööpmelisel soomusrongil nr 3. – M.S.)"
66d878c7f2daf46b3144e9b9,"Kuperjanowi partisaanide polgu nooremale alamohwitserile Martin OLL’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 20 oktoobril 1919 a. Kalitschi wabriku juures.
(Täpsustus: uuel diplomil nr 2800/29.01.1924 õige eesnimi Vassili. – A.K.)"
66d878b5f2daf46b3144df5f,"Tartu kooliõpilaste pataljoni reamehele Karl-Magnus PÄRN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 30 jaanuaril 1919 a. Hummuli mõisa juures.
(Täpsustus: uus diplom nr 2799 eesnimega Magnus-Ewald anti välja 29.01.1924.)"
66d8794cf2daf46b31453a3c,"hinnates kodanlisi teeneid, mis Tema Ekstsellents admiral Carl EHRENSVÄRD Eesti Vabariigi vastu ülesse näidanud.
(Täpsustus: valitsuse algne otsus 29.04.1925 oli VR III/2.)"
66d878b0f2daf46b3144dbda,"4 jalawäe polgu kuulipildujate roodu nooremale alamohwitserile Albert Jaani p. SAAR’ele, hinnates wahwust, mis Teie ülesnäitanud lahingus 10 augustil 1919 a. Aleksandrowskaja-Gorka all.
(Täpsustus: valitsuse otsusega 26.04.1935 arvati  õigeks eesnimeks Alfred.)"
66d878cef2daf46b3144ed9a,"Kuperjanowi partisanide polgu reamehele Johannes SAAREMAA’le, hinnates wahwust, mis Teie ülesnäitanud lahingutes 27 jaanuaril Telliste mõisas ja 31 jaanuaril 1919 Palu mõisa all.
(Täpsustus: viimasena märgitud lahing oli Paju mõisa all. – A.K.)"
66d87897f2daf46b3144cdc9,"1 Ratsa polgu kapralile Jüri Willemi p. PRISKE’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 jaanuaril 1919 a., waenlase sissetungimisel „Pustoi-Konetsi“ külasse, haawatutele kuulipilduritele appi tõtates ja neid waenlase kätte sattumisest peastes"
66d878a0f2daf46b3144d2b5,"Peipsi laewastiku diwisjoni 2 järgu madrusele Eduard Karli p. REIMANN’ile, hinnates wahwust, mis Teie ülesnäitanud dessandis 11 ja 12 septembril 1919 a. Homutowa ja Kusowowstschina külade wahel"
66d878e6f2daf46b3144fc31,"Inseneri pataljoni remontrongi Nr 3 nooremale alamohwitserile Sergei KUNINGAS’ile, hinnates wahwust, mis Teie ülesnäitanud raudtee ja sildade parandamisel – 25 jaanuaril 1919 a. Pritsu jaama juures, 27 jaanuaril 1919 a. Keeni jõe peal, 29 jaanuaril 1919 a. Sangastes ja 14–15 weebruaril 1919 a. Isborski all"
66d878dbf2daf46b3144f527,"2 Ratsawäe polgu reamehele Otto AUD’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 16 weebruaril 1919 a. Twertsoni ja Nowaja külade juures"
66d87931f2daf46b314529e6,"Alampolkownik Ignati MATUSCHEWSKY’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Eesti Wabariigile wabaduswõitluses Wene enamlastega, energiliselt töötades Poola Kindralstaabis meie ühise waenlase wastu ja tema üle wõidu saawutamises kaasa mõjudes"
66d87951f2daf46b31453d95,"hinnates kodanlisi teeneid, mis Härra Professor MORRISON, aruandja Eesti küsimustes Pariisi rahukongressil, Eesti Vabariigi vastu üles näidanud"
66d87946f2daf46b314536b9,"hinnates kodanlisi teeneid, mis Poola Vabariigi Peaminister Wladislaw GRABSKI Eesti Vabariigi vastu üles näidanud"
66d87902f2daf46b31450ce6,Lahingus 1 nowembril 1919 a. Aksenowo kiriku juures langenud 3 jalawäe polgu alamleitnandile Johannes SAAR’ele wahwuse eest
66d87930f2daf46b3145298b,"Marszalek Jozef PILSUDSKI’le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Eesti Wabariigile wabaduswõitluses Wene enamlastega, juhtides kindlal käel iseseiswa Poola Riigipea- ja Sõjawägede Ülemjuhatajana Poola wabaduswõitlust, mis oli sihitud meie ühise waenlase wastu, kogu aeg wiimasele raskeid kaotusi sünnitades ning sidudes waenlase suuremaid jõude oma wäerinna külge, mis meie wõitlusele kergendawalt kaasa mõjus ja meile lõpulikku wõitu kätte aitas saawutada"
66d87900f2daf46b31450bd3,"Rühma juhatajale Jussi LAWIKKA’le, hinnates wahwust, mis Teie ülesnäitanud Eesti Wabadussõjas"
66d878a3f2daf46b3144d4ce,"Suurtükilaew „Lembitu“mereõpilasele Helmuth Johani p. WIIBURG’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes Ikla küla, Luuga ja Kaporje all ning Peski, Nischnaja-Luschitsa, Krakolje, Sista ja Kernowa külade juures"
66d87932f2daf46b31452a6c,Vabadussõjas langenud kangelase leitnant Eduard SAAR’e sõjalisi teeneid isamaa vastu hinnates
66d87928f2daf46b314524c9,"Wälissaatkonna liikmele Mihkel MARTNA’le hinnates kodanlisi teenuseid, mis Teie osutanud oma wiljarikka tegewusega Eesti Wabariigi iseseiswusele teiste riikide sõpruse wõitmises ja sõjalise ning ainelise toetuse muretsemiseks.
Loobus VR vastuvõtmisest põhjendusega: aumärkide kandmine ja andmine käib minu waadete wastu ja ei seisa - minu arusaamise järele - ka mitte Eesti Wabariigi põhiseadusega kokkukõlas"
66d87936f2daf46b31452cb3,"Sõdur Otto WITTING’ile, hinnates wahwust, mis Teie üles näidanud Eesti Wabadussõjas.
(Selgituseks: EAP nimekirjas ei ole Otto Vittingit, samas 1923 VR saajate loendis on Otto parandatud Emil Nikolaiks.)"
66d87936f2daf46b31452cb4,"Sõdur S. ROSENKWIST’ile, hinnates wahwust, mis Teie üles näidanud Eesti Wabadussõjas.
(Täpsustus: 1. Soome vabatahtlike salgas oli vaid Georg Rosenqvist.)"
66d878f5f2daf46b3145057f,"1 piiriküti pataljoni ülemale, Alampolkownik Aleksander Johani p. SCHERWEL’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.
(Täpsustus: asendati 29.01.1924 diplomiga nr 2804, millel tekst algab: ""1. Piiriwalwe pataljoni ülemale."")"
66d87939f2daf46b31452eff,"Reamees Mihkel KENG’ile, hinnates kodanlisi teenuseid, mis Teie üles näidanud 1. detsembril 1924 a. kommunistide lööksalga pealetungi tagasitõrjumisel.
(Täpsustus: eesnimi Mihkel oli esildises ametniku eksitus.)"
66d878d0f2daf46b3144ef00,"1 jalawäe polgu reamehele Peeter KRUSENT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 8 jaanuaril 1919 a. Surru mõisa all.
(Täpsustus: esildises on viga, õige perekonnanimi KRUUSEMENT.)"
66d878e7f2daf46b3144fc88,"Laiaroopalise soomusrongi Nr 3 patarei weltweeblile Peeter AINSON’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 25 mail 1919 a. Moglino jaama juures.
(Täpsustus: esitati vahvuse eest Moglino jaama juures VR II/2 saamiseks, kuid VR nõukogu istung 28.07.1920 pidas õigustatuks teise VR II/3 annetamist.)"
66d878c3f2daf46b3144e79e,"Kitsaroopalise soomusrongi Nr 1 nooremale alamohwitserile Mart KOKS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919. – A.K.)"
66d878c3f2daf46b3144e774,"Kitsaroopalise soomusrongi Nr 1 ohwitseri kohusetäitjale Heinrich Hendriku p. HOLM’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919. – J.P.)"
66d878c4f2daf46b3144e7fa,"Kitsaroopalise soomusrongi Nr 1 reamehele Mihkel SCHMUUL’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919. – J.P.)"
66d878c3f2daf46b3144e79d,"Kitsaroopalise soomusrongi Nr 1 wanemale alamohwitserile Ado LETTERMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919. Uus diplom nr 2803 väljastati 29.01.1924.)"
66d878c4f2daf46b3144e7cc,"Kitsaroopalise soomusrong Nr 1 reamees Hans TILL’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878c4f2daf46b3144e7f8,"Kitsaroopalise soomusrong Nr 1 reamees Oskar TILL’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878c3f2daf46b3144e79f,"Kitsaroopalise soomusrongi Nr 1 kapralile Konstantin GUSTAWSON’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878c4f2daf46b3144e7fb,"Kitsaroopalise soomusrongi Nr 1 reamehele Johannes WILLMANN’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878c4f2daf46b3144e7ca,"Kitsaroopalise soomusrongi Nr 1 reamehele Joosep SUURSAAR’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri valdamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
66d878c3f2daf46b3144e7a1,"Kitsaroopalise soomusrongi Nr 1 reamehele Mihkel KESKÜLA’le, hinnates wahwust, mis Teie ülesnäitanud lahingus 28 augustil 1919 a. Püha-Nikandri kloostri waldamisel.
(Täpsustus: klooster vallutati 28.07.1919.)"
