Kavaler_EID,Surname,Forename,Name
66d84c19f2daf46b31440ec9,TALISTE,Valter-Andreas-Georg,"TALISTE, Valter-Andreas-Georg"
66d84c19f2daf46b31440ecc,KASE,Johan-Leonhard,"KASE, Johan-Leonhard"
66d84c19f2daf46b31440ecd,UNT,Mart,"UNT, Mart"
66d84c19f2daf46b31440eca,PINKA,Herbert-Karl,"PINKA, Herbert-Karl"
66d84c19f2daf46b31440eec,ADELBERG,Friedrich-Oskar,"ADELBERG, Friedrich-Oskar"
66d84c19f2daf46b31440ef0,SOONPÄÄ,Eduard,"SOONPÄÄ, Eduard"
66d84c19f2daf46b31440eed,JUURISMA,Adrian-Endrek,"JUURISMA, Adrian-Endrek"
66d84c19f2daf46b31440eee,PIHLAK,Alfred,"PIHLAK, Alfred"
66d84c19f2daf46b31440eef,PIILMANN,Mihkel,"PIILMANN, Mihkel"
66d84c19f2daf46b31440f0f,SUUR,Arnold,"SUUR, Arnold"
66d84c19f2daf46b31440f10,MÄND,Oskar,"MÄND, Oskar"
66d84c19f2daf46b31440f15,JÕERAND,Mart,"JÕERAND, Mart"
66d84c19f2daf46b31440f11,PONTAK,Alfred,"PONTAK, Alfred"
66d84c19f2daf46b31440f12,RAMMO,Bruno,"RAMMO, Bruno"
66d84c1af2daf46b31440f35,JÜRGEN,Jüri,"JÜRGEN, Jüri"
66d84c1af2daf46b31440f32,KÜLMHALLIK,Martin,"KÜLMHALLIK, Martin"
66d84c1af2daf46b31440f33,MUIDE,Rudolf,"MUIDE, Rudolf"
66d84c1af2daf46b31440f36,PUUSTUS,Eduard-Johannes,"PUUSTUS, Eduard-Johannes"
66d84c1af2daf46b31440f34,REBANE,Richard,"REBANE, Richard"
66d84c1af2daf46b31440f58,MAKKAR,Hugo,"MAKKAR, Hugo"
66d84c1af2daf46b31440f55,PAREL,Enn,"PAREL, Enn"
66d84c1af2daf46b31440f56,KORSAAR,Mihkel,"KORSAAR, Mihkel"
66d84c1af2daf46b31440f57,LUIGA,Aleksander,"LUIGA, Aleksander"
66d84c1af2daf46b31440f59,MAARITS,August,"MAARITS, August"
66d84c1af2daf46b31440f7b,TEDER,Nikolai,"TEDER, Nikolai"
66d84c1af2daf46b31440f7a,KÜLAOTS,Leonhard-Johannes,"KÜLAOTS, Leonhard-Johannes"
66d84c1af2daf46b31440f79,KRUUSE,Karl-Voldemar,"KRUUSE, Karl-Voldemar"
66d84c1af2daf46b31440f7e,MADISTE,Konstantin,"MADISTE, Konstantin"
66d84c1af2daf46b31440f7c,MEREMAA,Priidu,"MEREMAA, Priidu"
66d84c1bf2daf46b31440f9f,AALBERG,Tõnu-Voldemar,"AALBERG, Tõnu-Voldemar"
66d84c1bf2daf46b31440f9c,KALDA,Karl,"KALDA, Karl"
66d84c1bf2daf46b31440fa1,KÕRTSMIK,Mihail,"KÕRTSMIK, Mihail"
66d84c1bf2daf46b31440fa0,KENOWER,F. C.,"KENOWER, F. C."
66d84c1bf2daf46b31440f9d,HOLSTI,Eino Rudolf Woldemar,"HOLSTI, Eino Rudolf Woldemar"
66d84c1bf2daf46b31440fc1,STÅHLBERG,Kaarlo Juho,"STÅHLBERG, Kaarlo Juho"
66d84c1bf2daf46b31440fc3,ERICH,Rafael Waldemar,"ERICH, Rafael Waldemar"
66d84c1bf2daf46b31440fc0,NEPS,Eduard-Jakob,"NEPS, Eduard-Jakob"
66d84c1bf2daf46b31440fbf,UNT,Jaan,"UNT, Jaan"
66d84c1bf2daf46b31440fc2,LUIGA,Oskar,"LUIGA, Oskar"
66d84c1bf2daf46b31440fe6,OLDEKOP,Johannes-Adelbert,"OLDEKOP, Johannes-Adelbert"
66d84c1bf2daf46b31440fe5,RISTOJA,Jaan,"RISTOJA, Jaan"
66d84c1bf2daf46b31440fe3,SIIMANN,August-Voldemar,"SIIMANN, August-Voldemar"
66d84c1bf2daf46b31440fe4,MAHNKE,Arthur-Georg-Richard,"MAHNKE, Arthur-Georg-Richard"
66d84c1bf2daf46b31440fe7,KADAK,Karl,"KADAK, Karl"
66d84c1bf2daf46b31441009,PINKA,Friedrich-Karl,"PINKA, Friedrich-Karl"
66d84c1bf2daf46b31441008,KIISVEK,Martin,"KIISVEK, Martin"
66d84c1bf2daf46b31441006,JANTOV,Jüri,"JANTOV, Jüri"
66d84c1bf2daf46b31441007,ROHI,Jaan,"ROHI, Jaan"
66d84c1bf2daf46b3144100c,HENNO,Mihkel,"HENNO, Mihkel"
66d84c1cf2daf46b31441029,SEPP,Riidu,"SEPP, Riidu"
66d84c1cf2daf46b3144102a,LAAS,Mihkel,"LAAS, Mihkel"
66d84c1cf2daf46b3144102b,KUUL,Roman,"KUUL, Roman"
66d84c1cf2daf46b3144102c,GRÜNBERG,Voldemar,"GRÜNBERG, Voldemar"
66d84c1cf2daf46b3144102d,SUUSIK,Johannes-Andreas,"SUUSIK, Johannes-Andreas"
66d84c1cf2daf46b31441050,LIPAND,Harald,"LIPAND, Harald"
66d84c1cf2daf46b3144104c,SELTER,Priidik,"SELTER, Priidik"
66d84c1cf2daf46b3144104e,ALLIKMÄE,Aleksander,"ALLIKMÄE, Aleksander"
66d84c1cf2daf46b3144104d,TERAS,Voldemar,"TERAS, Voldemar"
66d84c1cf2daf46b3144104f,SAVIAUK,Aleksander,"SAVIAUK, Aleksander"
66d84c1cf2daf46b31441070,RUISO,Jaan,"RUISO, Jaan"
66d84c1cf2daf46b3144106f,LAUTER,Predik,"LAUTER, Predik"
66d84c1cf2daf46b31441072,AINISON,Peeter-Nikolai,"AINISON, Peeter-Nikolai"
66d84c1cf2daf46b31441071,NORMET,Jaan,"NORMET, Jaan"
66d84c1cf2daf46b31441073,JOHANSON,Mihkel,"JOHANSON, Mihkel"
66d84c1cf2daf46b31441093,VIIRMAA,Richard-Heinrich,"VIIRMAA, Richard-Heinrich"
66d84c1cf2daf46b31441094,PAULSEN,Karl-August-Ferdinand,"PAULSEN, Karl-August-Ferdinand"
66d84c1cf2daf46b31441092,MAISTE,Aleksander,"MAISTE, Aleksander"
66d84c1cf2daf46b31441095,BALIN,Aleksander,"BALIN, Aleksander"
66d84c1cf2daf46b31441096,VAHKAL,Karl,"VAHKAL, Karl"
66d84c1df2daf46b314410be,KOIK,Ants,"KOIK, Ants"
66d84c1df2daf46b314410bc,TOHVER,Mihkel,"TOHVER, Mihkel"
66d84c1df2daf46b314410bf,PUKSOV,Richard,"PUKSOV, Richard"
66d84c1df2daf46b314410bd,ROOSI,Mihkel,"ROOSI, Mihkel"
66d84c1df2daf46b314410c1,SIIG,Anton,"SIIG, Anton"
66d84c1df2daf46b314410e2,SARNITS,Edgar-Alexander,"SARNITS, Edgar-Alexander"
66d84c1df2daf46b314410e1,HOLLAND,Johannes-Voldemar,"HOLLAND, Johannes-Voldemar"
66d84c1df2daf46b314410e4,WETTER-ROSENTHAL,Hellmuth-Carl-Ernst von,"WETTER-ROSENTHAL, Hellmuth-Carl-Ernst von"
66d84c1df2daf46b314410df,GLOY,Georg-Eduard-Joachim-Adolph,"GLOY, Georg-Eduard-Joachim-Adolph"
66d84c1df2daf46b314410e3,KIKERPILL,Karl,"KIKERPILL, Karl"
66d84c1df2daf46b31441105,RASS,Jakob,"RASS, Jakob"
66d84c1df2daf46b31441102,HÜPPLER,Edmund-Rudolf,"HÜPPLER, Edmund-Rudolf"
66d84c1df2daf46b31441103,STERN,Karl-Johannes,"STERN, Karl-Johannes"
66d84c1df2daf46b31441104,KASK,Peeter-Johann,"KASK, Peeter-Johann"
66d84c1df2daf46b31441106,USIN,Jaan,"USIN, Jaan"
66d84c1df2daf46b31441126,JANSEN,Juhan,"JANSEN, Juhan"
66d84c1df2daf46b31441125,ERIKSON,Andrei,"ERIKSON, Andrei"
66d84c1df2daf46b31441127,VALGE,Alfred-Aleksander,"VALGE, Alfred-Aleksander"
66d84c1df2daf46b31441128,LINK,Eduard,"LINK, Eduard"
66d84c1df2daf46b3144112a,JAANBERG,Aleksander-Albert,"JAANBERG, Aleksander-Albert"
66d84c1ef2daf46b3144114c,RIKMA,Johannes,"RIKMA, Johannes"
66d84c1ef2daf46b3144114a,SAARIO,Hugo,"SAARIO, Hugo"
66d84c1ef2daf46b31441148,MÄEPÕLD,Martin-Johannes,"MÄEPÕLD, Martin-Johannes"
66d84c1ef2daf46b31441149,MEEME,Juhan,"MEEME, Juhan"
66d84c1ef2daf46b3144114b,RÄTSNIK,Oskar,"RÄTSNIK, Oskar"
66d84c1ef2daf46b3144116c,VOOL,Abel,"VOOL, Abel"
66d84c1ef2daf46b3144116b,ROO,Aleksander,"ROO, Aleksander"
66d84c1ef2daf46b3144116f,VAGA,Kustav,"VAGA, Kustav"
66d84c1ef2daf46b3144116d,POLLUKS,Jakob,"POLLUKS, Jakob"
66d84c1ef2daf46b3144116e,NORMAK,Otto-Lembit,"NORMAK, Otto-Lembit"
66d84c1ef2daf46b31441190,RAUDSOO,August,"RAUDSOO, August"
66d84c1ef2daf46b3144118f,OLMBERG,Eduard-Albert,"OLMBERG, Eduard-Albert"
66d84c1ef2daf46b31441191,METS,Jaan,"METS, Jaan"
66d84c1ef2daf46b3144118e,VENDE,Jakob,"VENDE, Jakob"
66d84c1ef2daf46b31441192,SEIMAN,Aleksander,"SEIMAN, Aleksander"
66d84c1ef2daf46b314411b1,LARETEI,Heinrich,"LARETEI, Heinrich"
66d84c1ef2daf46b314411b4,LIIVAK,Viktor,"LIIVAK, Viktor"
66d84c1ef2daf46b314411b3,REMMEL,Johannes,"REMMEL, Johannes"
66d84c1ef2daf46b314411b2,JÄRVELAID,Aleksander,"JÄRVELAID, Aleksander"
66d84c1ef2daf46b314411b5,PENT,Jaan,"PENT, Jaan"
66d84c1ff2daf46b314411d4,RÕUK,Hans,"RÕUK, Hans"
66d84c1ff2daf46b314411d5,URKE,Jakob,"URKE, Jakob"
66d84c1ff2daf46b314411d9,SAARNAK,Andrei,"SAARNAK, Andrei"
66d84c1ff2daf46b314411d7,KASK,Rudolf-Johannes,"KASK, Rudolf-Johannes"
66d84c1ff2daf46b314411d6,KLIMBEK,Jaan,"KLIMBEK, Jaan"
66d84c1ff2daf46b314411fa,OJANGU,Aleksander,"OJANGU, Aleksander"
66d84c1ff2daf46b314411f7,ZOVO,Karl,"ZOVO, Karl"
66d84c1ff2daf46b314411f9,REIMETS,Eduard-Julius,"REIMETS, Eduard-Julius"
66d84c1ff2daf46b314411f8,BELJAKOV,Peeter,"BELJAKOV, Peeter"
66d84c1ff2daf46b314411fb,PONTUS,Otto,"PONTUS, Otto"
66d84c1ff2daf46b3144121e,SALLA,Richard-Alexander,"SALLA, Richard-Alexander"
66d84c1ff2daf46b3144121b,KAHRO,Otto-Karl,"KAHRO, Otto-Karl"
66d84c1ff2daf46b3144121a,LUHA,Eduard,"LUHA, Eduard"
66d84c1ff2daf46b3144121c,LENSMENT,Johann,"LENSMENT, Johann"
66d84c1ff2daf46b3144121d,PÜTT,Jaan,"PÜTT, Jaan"
66d84c20f2daf46b3144123d,SALEP,Arthur-Heinrich,"SALEP, Arthur-Heinrich"
66d84c20f2daf46b31441241,NIITME,Heino,"NIITME, Heino"
66d84c20f2daf46b31441240,NÕU,Bernhard,"NÕU, Bernhard"
66d84c20f2daf46b3144123e,ROOTSI,Johannes,"ROOTSI, Johannes"
66d84c20f2daf46b3144123f,KÄRME,Mihail,"KÄRME, Mihail"
66d84c20f2daf46b31441262,RANDLA,Aleksander,"RANDLA, Aleksander"
66d84c20f2daf46b31441264,KESKSALU,Jakob,"KESKSALU, Jakob"
66d84c20f2daf46b31441261,KASK,Voldemar,"KASK, Voldemar"
66d84c20f2daf46b31441260,RAND,Karl,"RAND, Karl"
66d84c20f2daf46b31441263,ANDRESSON,Aleksander,"ANDRESSON, Aleksander"
66d84c20f2daf46b31441285,MULDMA,Magnus,"MULDMA, Magnus"
66d84c20f2daf46b31441287,VIMM,Jakob,"VIMM, Jakob"
66d84c20f2daf46b31441283,VÖHRMANN,Arnold-Joosep,"VÖHRMANN, Arnold-Joosep"
66d84c20f2daf46b31441284,HANSTEIN,Balder,"HANSTEIN, Balder"
66d84c20f2daf46b31441286,BERNARD,Ernst-Johannes,"BERNARD, Ernst-Johannes"
66d84c20f2daf46b314412a6,EINSTRUK,Eduard-Romanus,"EINSTRUK, Eduard-Romanus"
66d84c20f2daf46b314412a7,RANDMAA,Johannes,"RANDMAA, Johannes"
66d84c20f2daf46b314412ae,NAELASTE,Jüri,"NAELASTE, Jüri"
66d84c20f2daf46b314412a9,ENDEMANN,Jüri,"ENDEMANN, Jüri"
66d84c20f2daf46b314412a8,KOSK,Rudolf-Eduard,"KOSK, Rudolf-Eduard"
66d84c21f2daf46b314412cb,SOO,Johannes,"SOO, Johannes"
66d84c21f2daf46b314412ca,MAIDE,Johannes-Voldemar,"MAIDE, Johannes-Voldemar"
66d84c21f2daf46b314412cc,VILJAK,Johannes,"VILJAK, Johannes"
66d84c21f2daf46b314412c9,LUTS,Julius,"LUTS, Julius"
66d84c21f2daf46b314412ce,MURDE,Jaan,"MURDE, Jaan"
66d84c21f2daf46b314412ed,POMMER,Jakob,"POMMER, Jakob"
66d84c21f2daf46b314412ee,KIPPER,Johann-Leonhard,"KIPPER, Johann-Leonhard"
66d84c21f2daf46b314412ec,RANNIK,Teodor,"RANNIK, Teodor"
66d84c21f2daf46b31441308,KITSEL,Johannes,"KITSEL, Johannes"
66d84c21f2daf46b314412ef,KOVALSKI,Voldemar,"KOVALSKI, Voldemar"
66d84c22f2daf46b31441310,JOHANNSON,Vilhelm-Gustav-Heinrich,"JOHANNSON, Vilhelm-Gustav-Heinrich"
66d84c22f2daf46b31441312,PENT,August,"PENT, August"
66d84c22f2daf46b31441311,AUS,Johannes,"AUS, Johannes"
66d84c22f2daf46b31441313,RODEN,Johannes,"RODEN, Johannes"
66d84c22f2daf46b31441315,HABERMANN,Karl-Leopold,"HABERMANN, Karl-Leopold"
66d84c22f2daf46b31441333,LUKAS,Albert,"LUKAS, Albert"
66d84c22f2daf46b31441338,BAUM,Georg,"BAUM, Georg"
66d84c22f2daf46b31441336,KORV,Arthur,"KORV, Arthur"
66d84c22f2daf46b31441334,REIDAK,Otto,"REIDAK, Otto"
66d84c22f2daf46b31441337,MASTI,Indrek,"MASTI, Indrek"
66d84c22f2daf46b31441358,OLLINO,Johannes,"OLLINO, Johannes"
66d84c22f2daf46b31441359,PAAL,Johan-Voldemar,"PAAL, Johan-Voldemar"
66d84c22f2daf46b31441356,VALGE,Nikolai,"VALGE, Nikolai"
66d84c22f2daf46b3144135a,NEREP,Elmar,"NEREP, Elmar"
66d84c22f2daf46b3144135b,PORRE,Paul,"PORRE, Paul"
66d84c23f2daf46b3144137a,EIK,Edgar-Villiam,"EIK, Edgar-Villiam"
66d84c23f2daf46b31441379,PÕLENDIK,Nikolai,"PÕLENDIK, Nikolai"
66d84c23f2daf46b3144137c,RODEN,Nikolai,"RODEN, Nikolai"
66d84c23f2daf46b3144137b,SANTPANK,Johannes,"SANTPANK, Johannes"
66d84c23f2daf46b3144137d,SÕBER,Arnold,"SÕBER, Arnold"
66d84c23f2daf46b3144139e,LINNEBERG,Bruno-Aleksander,"LINNEBERG, Bruno-Aleksander"
66d84c23f2daf46b3144139c,VIIBURG,Helmuth,"VIIBURG, Helmuth"
66d84c23f2daf46b3144139d,ARON,Aleksander,"ARON, Aleksander"
66d84c23f2daf46b314413a0,VALDSNEP,Boris,"VALDSNEP, Boris"
66d84c23f2daf46b3144139f,VAADRE,Ernst-Johannes,"VAADRE, Ernst-Johannes"
66d84c23f2daf46b314413c2,PALUMÄE,Aleksander-August,"PALUMÄE, Aleksander-August"
66d84c23f2daf46b314413c0,EENPÕLLU,Gustav-Eduard,"EENPÕLLU, Gustav-Eduard"
66d84c23f2daf46b314413c1,KREEKMANN,Georg,"KREEKMANN, Georg"
66d84c23f2daf46b314413bf,LAANSOO,Gustav,"LAANSOO, Gustav"
66d84c23f2daf46b314413c3,ROOMERE,Arnold,"ROOMERE, Arnold"
66d84c23f2daf46b314413e2,JAANSON,Robert-Johann,"JAANSON, Robert-Johann"
66d84c23f2daf46b314413e5,PALTMANN,Karl,"PALTMANN, Karl"
66d84c23f2daf46b314413e6,HEINMAA,Juhan,"HEINMAA, Juhan"
66d84c23f2daf46b314413e3,FOELSCH,Hellmuth-Arthur-Julius,"FOELSCH, Hellmuth-Arthur-Julius"
66d84c23f2daf46b314413e4,GOTTLOB,Eduard,"GOTTLOB, Eduard"
66d84c24f2daf46b31441405,UNGVERE,Jüri,"UNGVERE, Jüri"
66d84c24f2daf46b31441408,NÕMME,Johannes,"NÕMME, Johannes"
66d84c24f2daf46b31441406,VALTER,Reinhold-Alexander,"VALTER, Reinhold-Alexander"
66d84c24f2daf46b31441407,VIIDAS,Otto,"VIIDAS, Otto"
66d84c24f2daf46b31441409,LAUR,Anton,"LAUR, Anton"
66d84c24f2daf46b3144142c,KARM,Jaan,"KARM, Jaan"
66d84c24f2daf46b31441428,LOIDE,Endel,"LOIDE, Endel"
66d84c24f2daf46b3144142b,BALDER,August,"BALDER, August"
66d84c24f2daf46b31441429,ROKK,Rudolf-Georg,"ROKK, Rudolf-Georg"
66d84c24f2daf46b3144142a,SIMSON,Arthur-Friedrich,"SIMSON, Arthur-Friedrich"
66d84c24f2daf46b3144144e,PAJUSTE,Andrei,"PAJUSTE, Andrei"
66d84c24f2daf46b3144144c,SCHMIDT,Johan,"SCHMIDT, Johan"
66d84c24f2daf46b3144144b,LAURITS,Paul,"LAURITS, Paul"
66d84c24f2daf46b3144144d,KALDE,Jakob,"KALDE, Jakob"
66d84c24f2daf46b3144144f,KÄIGE,Herbert,"KÄIGE, Herbert"
66d84c25f2daf46b31441470,ROOSAAR,Ants,"ROOSAAR, Ants"
66d84c25f2daf46b31441471,KLEIN,Karl,"KLEIN, Karl"
66d84c25f2daf46b3144146e,REEK,Nikolai,"REEK, Nikolai"
66d84c25f2daf46b3144146f,JÕESAAR,Viktor,"JÕESAAR, Viktor"
66d84c25f2daf46b31441472,VARIK,Karl,"VARIK, Karl"
66d84c25f2daf46b31441493,MARUSTE,Andrei,"MARUSTE, Andrei"
66d84c25f2daf46b31441495,SEPP,Jüri,"SEPP, Jüri"
66d84c25f2daf46b31441492,JÄRNEFELT,Yrjö Kasper Valdemar,"JÄRNEFELT, Yrjö Kasper Valdemar"
66d84c25f2daf46b31441494,MATSON,Jaan,"MATSON, Jaan"
66d84c25f2daf46b31441496,PÕLDSALU,Kaarel,"PÕLDSALU, Kaarel"
66d84c25f2daf46b314414b7,JÕGI,Aleksander,"JÕGI, Aleksander"
66d84c25f2daf46b314414b5,PUKSPUU,Johannes,"PUKSPUU, Johannes"
66d84c25f2daf46b314414b6,HINDREI,August,"HINDREI, August"
66d84c25f2daf46b314414bb,KALDVEER,Juhan,"KALDVEER, Juhan"
66d84c25f2daf46b314414ba,EMAR,August,"EMAR, August"
66d84c25f2daf46b314414dc,PÜSS,Anton-Rihard,"PÜSS, Anton-Rihard"
66d84c25f2daf46b314414db,JÜRINE,Mart,"JÜRINE, Mart"
66d84c25f2daf46b314414da,VARIK,Peeter-Karl,"VARIK, Peeter-Karl"
66d84c25f2daf46b314414d8,NIIMEISTER,Peeter,"NIIMEISTER, Peeter"
66d84c25f2daf46b314414d9,RÄÄGEL,Anton,"RÄÄGEL, Anton"
66d84c26f2daf46b314414fd,KUKK,Anna-Marie,"KUKK, Anna-Marie"
66d84c26f2daf46b314414fb,LUHAÄR,Ilmar,"LUHAÄR, Ilmar"
66d84c26f2daf46b31441500,MIIDO,Eustaatius,"MIIDO, Eustaatius"
66d84c26f2daf46b314414fe,KARINEEM,Willem,"KARINEEM, Willem"
66d84c26f2daf46b314414fc,MESI,Voldemar,"MESI, Voldemar"
66d84c26f2daf46b31441520,RIIS,Jaan,"RIIS, Jaan"
66d84c26f2daf46b31441521,VAARMANN,Mihkel,"VAARMANN, Mihkel"
66d84c26f2daf46b3144151f,KLESMENT,Johannes,"KLESMENT, Johannes"
66d84c26f2daf46b31441522,JÜRISTE,Juhan,"JÜRISTE, Juhan"
66d84c26f2daf46b31441523,KALLE,Ferdinand-Magnus,"KALLE, Ferdinand-Magnus"
66d84c26f2daf46b31441544,GUSTAVSON,August,"GUSTAVSON, August"
66d84c26f2daf46b31441542,SUURMANN,Mihkel-Adolf,"SUURMANN, Mihkel-Adolf"
66d84c26f2daf46b31441545,HERM,Johannes-Eduard,"HERM, Johannes-Eduard"
66d84c26f2daf46b31441543,LEONOV,Feodor,"LEONOV, Feodor"
66d84c26f2daf46b31441547,VALDMANN,Osvald,"VALDMANN, Osvald"
66d84c26f2daf46b31441568,KOLLE,Andres,"KOLLE, Andres"
66d84c26f2daf46b31441567,TÜRK,Jakob,"TÜRK, Jakob"
66d84c26f2daf46b31441565,NÄRIPEA,Aleksander,"NÄRIPEA, Aleksander"
66d84c26f2daf46b31441566,JAKOBSON,Karl,"JAKOBSON, Karl"
66d84c26f2daf46b3144156a,JÕÕKS,Hans,"JÕÕKS, Hans"
66d84c27f2daf46b31441589,KURM,Jakob,"KURM, Jakob"
66d84c27f2daf46b3144158d,SAUGA,Andres,"SAUGA, Andres"
66d84c27f2daf46b3144158a,LÕHMUS,Karl,"LÕHMUS, Karl"
66d84c27f2daf46b3144158c,KOSE,Anton,"KOSE, Anton"
66d84c27f2daf46b31441588,PÄRTELS,Aleksander,"PÄRTELS, Aleksander"
66d84c27f2daf46b314415ae,KÄÄR,Jaan,"KÄÄR, Jaan"
66d84c27f2daf46b314415ab,KLAASEN,Herman,"KLAASEN, Herman"
66d84c27f2daf46b314415ac,AARNA,Hans,"AARNA, Hans"
66d84c27f2daf46b314415af,TUISK,Mihkel,"TUISK, Mihkel"
66d84c27f2daf46b314415ad,AHTMANN,Georgi,"AHTMANN, Georgi"
